Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8546155,"Grave Humor: Funny, Ironic, and Ridiculous Tombstones",Family Tree Magazine,"Magazine, Family Tree",,"=""1440308853""","=""9781440308857""",4,3.23,Family Tree Books,Paperback,144,2010,2010,2016/12/10,2016/12/10,,,read,,,,1,,,0,,,,,
8608120,Um Catálogo de Sonhos,José Carlos Fernandes,"Fernandes, José Carlos",,"=""9895591039""","=""9789895591039""",2,3.50,Edições Devir,Paperback,48,2004,1996,2016/12/10,2016/12/10,,,read,,,,1,,,0,,,,,
18692452,Green Lantern: Rebirth (New Edition),Geoff Johns,"Johns, Geoff","Van Sciver, Ethan","=""""","=""9781401236403""",3,4.12,DC Comics,Kindle Edition,192,2011,2005,2013/12/04,2013/12/03,,,read,,,,1,,,0,,,,,
32183048,O Poderoso Thor: Em Busca dos Deuses (A Coleção Oficial de Graphic Novels Marvel #26),Dan Jurgens,"Jurgens, Dan",John Romita Jr.,"=""""","=""9788447128198""",3,3.28,Salvat,Hardcover,200,2016,2012,2016/11/03,2016/11/03,,,read,,,,1,,,0,,,,,
31924448,O Incrível Hulk: Gritos Silenciosos (A Coleção Oficial de Graphic Novels Marvel #25,Peter David,"David, Peter",Dale Keown,"=""""","=""9788447128181""",3,3.73,Salvat,Hardcover,200,2016,1990,2016/11/01,2016/11/01,,,read,,,,1,,,0,,,,,
29965119,La poesía de los números,Antonio J. Durán Guardeño,"Guardeño, Antonio J. Durán",,"=""""","=""""",3,3.60,,Hardcover,,,2011,2016/10/31,2016/10/25,,,read,"O livro apresenta algumas coisas interessantes, mas revela-se demasiado curto, para os objectivos a que se propõe.",,,1,,,0,,,,,
31831253,Fogos e Murmúrio,Lorenzo Mattotti,"Mattotti, Lorenzo","Jerry Kramsky, Carlos Xavier, Frederica Claro de Armada","=""""","=""9789896825911""",2,3.14,Levoir,Hardcover,126,2016,2010,2016/10/28,2016/10/26,,,read,"Arte interessante, histórias etéras mas que não fazem o meu estilo. O tom excessivamente filosófico e metafórico conseguiu apenas desligar-me completamente da narrativa.",,,1,,,0,,,,,
29340828,O Espaço Vazio,Dick Haskins,"Haskins, Dick",,"=""9724132749""","=""""",1,3.34,Sábado,Paperback,188,2016,1962,2016/10/22,2016/10/18,,,read,"*Antes de ler as últimas 10 páginas*<br/><br/>Formulaico, monótono, básico, personagens com zero de profundidade, diálogos sofríveis, história sem um pingo de interesse e escrita banal.<br/><br/>*Depois de ler as últimas 10 páginas*<br/><br/>Estúpido, profundamente idiota e, diria até, insultuoso para o leitor. Ridículo! Já há muito tempo que não lia um desfecho tão absurdo para um policial. É de trepar paredes. Horrível. Execrável. Só à chapada!",,,1,,,0,,,,,
31198679,A Garagem Hermética,Mœbius,"Mœbius, Mœbius",José De Freitas,"=""""","=""9789896825867""",2,4.21,Levoir,Hardcover,120,2016,1979,2016/10/22,2016/10/19,,,read,"A história confusa e maioritariamente improvisada não me convenceu. Vale pelo imaginário e pelo(s) universo(s) criado(s), bem como pela arte, tão típica de Moebius.",,,1,,,0,,,,,
32193710,Os Exércitos do Conquistador,Jean-Pierre Dionnet,"Dionnet, Jean-Pierre","Jean-Claude Gal, João Miguel Lameiras, Hugo Jesus","=""""","=""9789896825942""",5,4.02,Levoir,Hardcover,191,2016,2002,2016/10/14,2016/10/10,,,read,"Sublime! A arte super detalhada é extraordinária, e embora os diálogos sejam ocasionalmente dolorosos, as histórias contidas neste livro inserem-se na tradição pulp ao mesmo tempo que parecem ser episódios de uma Twilight Zone de um passado ficcional muito parecido à América do Sul de Aztecas, Maias e Incas.<br/><br/>Finais em aberto convivem com finais perfeitamente circulares, reviravoltas encontram-se a meio caminho com épicas histórias de vingança, e o horror mistura-se com um tipo muito particular de sword and sorcery, e há ainda tempo para um ligeiro toque de ficção científica<br/><br/>Basta dizer-vos que o livro tem quase 200 páginas, e que eu depois das primeiras 20 já lhe tinha dado 5 estrelas na minha cabeça. E depois não me desiludi! Verdadeiramente impressionante... E não esquecer a arte e a própria planificação das vinhetas, divinal em todos os seus aspectos.",,,1,,,0,,,,,
26859623,O Barão Aventureiro,Carlos A. Cornejo,"Cornejo, Carlos A.",Chiqui de La Fuente,"=""""","=""""",3,3.46,Edições FP,Paperback,46,,1975,2016/10/07,2016/10/07,,,read,"Comprei este livro por quase nada, e apenas por já conhecer o filme, completamente psicadélico. O espírito é o mesmo, completamente louco, mas a forma de contar a história parece estranhamente... datada.",,,1,,,0,,,,,
